PLAYER FULL NAME,"OWN
TEAM",MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
luol deng,chicago,29.3,2,8,0,5,0,0,1,4,5,4,4,2,3,0,4
carlos boozer,chicago,32.2,13,18,0,0,5,5,3,4,7,2,4,1,2,1,31
joakim noah,chicago,20.1,1,4,0,0,0,2,2,9,11,2,2,2,2,2,2
jimmy butler,chicago,29.6,6,12,2,4,6,7,0,3,3,3,4,5,2,1,20
derrick rose,chicago,34.2,4,15,1,7,3,4,0,1,1,4,2,0,5,0,12
mike dunleavy,chicago,22.6,3,9,2,4,2,2,0,3,3,1,1,0,1,0,10
taj gibson,chicago,29.2,4,8,0,0,2,3,4,4,8,3,1,0,0,0,10
kirk hinrich,chicago,29.3,2,6,2,4,0,0,0,1,1,3,6,0,2,0,6
nazr mohammed,chicago,5.2,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0
tony snell,chicago,6.4,0,3,0,2,0,0,0,0,0,0,2,1,1,0,0
lebron james,miami,38,5,11,0,1,7,9,0,6,6,8,0,1,2,0,17
udonis haslem,miami,21.3,2,4,0,0,2,2,1,2,3,0,3,0,3,0,6
chris bosh,miami,31.2,6,11,1,2,3,4,1,5,6,0,3,0,1,3,16
dwyane wade,miami,36.1,5,13,1,1,2,5,0,4,4,3,4,1,3,1,13
mario chalmers,miami,26.5,3,8,1,3,6,7,2,1,3,4,2,5,3,0,13
ray allen,miami,26.2,3,7,3,6,2,2,0,1,1,7,4,0,3,1,11
shane battier,miami,22.1,5,6,4,4,0,0,0,2,2,1,3,0,0,0,14
norris cole,miami,21.1,5,7,1,3,0,0,0,7,7,3,0,1,3,0,11
chris andersen,miami,16.3,3,5,0,0,0,0,1,7,8,0,2,2,0,2,6
jared dudley,los angeles clippers,22.4,2,6,1,4,0,0,0,3,3,2,4,0,1,0,5
blake griffin,los angeles clippers,40.1,8,15,0,0,3,10,2,5,7,3,1,1,4,0,19
deandre jordan,los angeles clippers,35.3,8,10,0,0,1,2,4,7,11,1,5,3,1,3,17
j.j. redick,los angeles clippers,33.5,5,12,2,5,1,1,1,1,2,3,0,0,1,0,13
chris paul,los angeles clippers,35.6,5,13,0,2,5,5,0,6,6,11,4,5,1,0,15
matt barnes,los angeles clippers,28.3,3,6,1,3,1,1,2,4,6,3,4,2,3,0,8
jamal crawford,los angeles clippers,25.5,5,13,3,6,2,2,1,2,3,3,0,0,3,0,15
darren collison,los angeles clippers,12.3,4,5,1,1,0,0,0,1,1,1,2,0,2,0,9
ryan hollins,los angeles clippers,3.6,0,2,0,0,0,2,0,1,1,0,1,0,0,1,0
reggie bullock,los angeles clippers,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
nick young,los angeles lakers,22,3,10,1,4,6,8,0,1,1,0,1,1,2,0,13
shawne williams,los angeles lakers,12.5,1,5,0,3,1,2,1,2,3,0,3,1,1,2,3
pau gasol,los angeles lakers,24.3,5,12,1,2,4,4,1,12,13,4,0,0,5,0,15
steve blake,los angeles lakers,22.3,2,3,2,2,0,0,1,1,2,1,1,1,0,0,6
steve nash,los angeles lakers,20.4,1,3,1,1,0,0,0,1,1,5,3,0,3,0,3
chris kaman,los angeles lakers,19.4,5,10,0,0,0,0,4,4,8,0,1,1,1,2,10
jodie meeks,los angeles lakers,25.4,4,8,3,6,2,2,0,3,3,2,2,1,2,0,13
jordan farmar,los angeles lakers,27.2,6,10,2,3,2,4,2,2,4,6,5,1,3,0,16
xavier henry,los angeles lakers,26.2,8,13,3,4,3,8,2,4,6,2,1,1,1,0,22
wesley johnson,los angeles lakers,20.3,1,11,1,4,0,0,0,3,3,1,4,0,0,1,3
jordan hill,los angeles lakers,18,6,8,0,0,0,0,7,1,8,2,2,1,1,1,12
paul Pierce,brooklyn,29.5,5,8,3,4,4,4,0,4,4,2,2,0,1,0,17
kevin garnett,brooklyn,26.2,4,8,0,0,0,0,2,8,10,3,4,2,2,1,8
brook lopez,brooklyn,33.4,9,18,0,0,3,5,2,3,5,1,3,0,1,4,21
joe johnson,brooklyn,34.2,3,10,0,3,7,8,0,0,0,5,1,1,1,0,13
deron williams,brooklyn,21.4,2,6,1,2,2,2,0,3,3,9,3,0,4,1,7
andray blatche,brooklyn,20.2,0,5,0,0,0,0,0,3,3,0,2,1,3,1,0
reggie evans,brooklyn,15.5,1,5,0,0,2,3,4,4,8,0,3,0,1,1,4
alan anderson,brooklyn,23.3,4,11,1,6,0,0,0,3,3,0,3,1,1,0,9
shaun livingston,brooklyn,15.3,0,1,0,0,1,2,1,0,1,3,3,2,0,0,1
jason terry,brooklyn,19,5,10,4,9,0,0,0,0,0,1,3,1,1,0,14
earl clark,cleveland,27.1,4,10,0,1,1,2,3,5,8,1,2,0,1,0,9
tristan thompson,cleveland,34.5,8,13,0,0,2,4,3,6,9,0,2,0,1,0,18
anderson varejao,cleveland,34.4,5,9,0,0,1,4,3,5,8,3,3,0,0,1,11
dion waiters,cleveland,29.2,5,12,1,3,0,0,1,0,1,2,2,3,2,0,11
kyrie irving,cleveland,30.6,4,16,0,2,7,9,0,7,7,9,4,2,2,0,15
jarrett jack,cleveland,22.3,3,6,1,1,5,6,0,3,3,3,1,1,1,0,12
alonzo gee,cleveland,18.5,1,2,1,1,4,4,3,1,4,1,2,1,0,0,7
anthony bennett,cleveland,14.6,0,5,0,3,2,4,1,4,5,0,1,0,0,0,2
andrew bynum,cleveland,7.3,1,5,0,0,1,1,2,1,3,2,1,0,1,2,3
c.j. miles,cleveland,15.2,4,6,2,4,0,0,0,0,0,0,1,0,2,0,10
tyler zeller,cleveland,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
evan turner,philadelphia,37.1,10,19,0,4,6,6,0,4,4,5,3,1,3,0,26
thaddeus young,philadelphia,34.2,5,15,0,1,0,0,4,2,6,2,2,2,5,0,10
spencer hawes,philadelphia,29.2,10,14,1,2,3,4,3,6,9,2,4,0,2,0,24
james anderson,philadelphia,35.2,3,8,2,5,0,0,0,6,6,1,3,2,3,0,8
michael carter-williams,philadelphia,36.1,6,10,4,6,6,8,0,7,7,12,1,9,1,0,22
tony wroten,philadelphia,23.2,6,9,1,3,1,2,1,3,4,2,1,1,2,0,14
lavoy allen,philadelphia,17.3,1,3,0,0,2,2,0,3,3,0,2,0,0,0,4
daniel orton,philadelphia,14.5,1,1,0,0,2,2,0,1,1,0,4,1,1,1,4
darius morris,philadelphia,11.5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2
gerald wallace,boston,39.5,1,1,0,0,1,4,0,3,3,2,2,4,5,0,3
brandon bass,boston,32.1,6,7,0,0,5,5,1,1,2,2,2,2,1,0,17
vitor faverani,boston,26.4,4,9,0,1,5,8,1,2,3,0,5,0,3,3,13
jeff green,boston,37,8,16,2,3,7,9,0,5,5,2,4,1,1,1,25
avery bradley,boston,31.2,4,13,0,3,0,0,1,4,5,4,6,2,4,1,8
jordan crawford,boston,17.4,3,5,1,1,0,0,2,1,3,5,2,0,1,0,7
kelly olynyk,boston,16.2,2,5,0,2,0,0,0,0,0,0,2,0,3,0,4
kris humphries,boston,20.5,3,4,0,0,2,3,2,7,9,0,2,0,2,2,8
courtney lee,boston,14.3,1,4,0,2,0,0,0,2,2,0,0,1,2,0,2
phil pressey,boston,3.4,0,2,0,1,0,0,0,1,1,0,2,0,0,0,0
rudy gay,toronto,34.1,8,18,1,2,2,3,2,6,8,1,3,2,5,0,19
amir johnson,toronto,24.2,6,8,1,3,0,0,2,1,3,2,4,0,0,1,13
jonas valanciunas,toronto,31.2,4,9,0,0,0,0,5,6,11,0,4,1,3,2,8
demar derozan,toronto,40.2,6,19,1,3,0,2,0,2,2,2,3,2,5,0,13
kyle lowry,toronto,34.5,2,8,0,3,7,12,2,1,3,8,2,2,2,0,11
tyler hansbrough,toronto,24.4,3,4,0,0,1,2,5,7,12,0,1,0,0,3,7
landry fields,toronto,18.1,4,7,0,0,0,1,3,3,6,0,4,0,0,0,8
steve novak,toronto,6.4,1,3,1,2,0,0,0,1,1,0,1,0,0,0,3
d.j. augustin,toronto,13.2,2,7,0,3,1,1,0,0,0,2,1,0,1,0,5
terrence ross,toronto,12.1,2,3,1,1,1,2,0,2,2,0,2,2,1,0,6
trevor ariza,washington,37.4,8,14,6,11,6,8,1,9,10,3,4,1,2,0,28
rrevor booker,washington,20.2,1,3,0,0,0,0,4,1,5,3,3,0,1,0,2
nene hilario,washington,30.2,4,6,0,0,4,7,1,2,3,1,4,1,0,1,12
bradley beal,washington,38.2,6,18,2,6,3,3,1,3,4,2,3,0,3,0,17
john wall,washington,38.6,8,21,0,4,4,6,2,0,2,11,3,3,4,0,20
marcin gortat,washington,16.5,3,6,0,0,3,4,4,5,9,0,5,0,3,1,9
al harrington,washington,18.2,1,4,0,1,2,2,0,0,0,1,4,0,2,0,4
eric maynor,washington,9,1,3,1,1,0,0,0,2,2,1,0,0,0,0,3
martell webster,washington,20.6,1,1,1,1,2,2,0,2,2,0,2,0,0,0,5
garrett temple,washington,5,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
kevin seraphin,washington,4.2,1,1,0,0,0,0,0,1,1,0,1,0,1,0,2
josh smith,detroit,39.4,8,12,3,7,0,0,1,4,5,5,5,0,4,1,19
greg monroe,detroit,41.3,6,15,0,0,12,15,5,11,16,3,3,1,5,1,24
andre drummond,detroit,26.2,6,7,0,0,0,0,3,5,8,1,5,0,1,0,12
chauncey billups,detroit,30.4,4,8,4,5,4,4,1,2,3,5,3,1,1,0,16
will bynum,detroit,38.1,7,13,1,2,4,6,0,1,1,5,4,2,4,1,19
kentavious caldwell-pope,detroit,27,4,12,0,3,1,2,0,1,1,2,4,2,2,0,9
kyle singler,detroit,27.2,2,6,1,5,3,3,2,6,8,1,2,0,0,0,8
jonas jerebko,detroit,8.3,2,5,0,2,2,3,0,1,1,2,1,0,1,1,6
peyton siva,detroit,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tony mitchell,detroit,0.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
luigi datome,detroit,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caron butler,milwaukee,33.3,5,9,2,3,2,2,1,3,4,1,4,1,7,0,14
khris middleton,milwaukee,19.2,1,4,0,1,0,0,0,0,0,1,3,0,3,0,2
larry sanders,milwaukee,12.2,0,3,0,0,0,0,1,3,4,0,5,0,2,1,0
brandon knight,milwaukee,1.5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
o.j. mayo,milwaukee,35.6,6,12,0,3,1,1,0,5,5,3,1,1,2,0,13
nate wolters,milwaukee,29.4,3,12,1,4,2,2,1,0,1,4,2,1,2,1,9
ersan ilyasova,milwaukee,19.4,5,6,0,0,0,0,0,2,2,1,1,3,2,0,10
gary neal,milwaukee,31.5,6,16,2,5,2,2,0,2,2,5,0,0,0,0,16
zaza pachulia,milwaukee,33.5,6,10,0,0,1,1,2,9,11,3,4,2,2,0,13
giannis antetokounmpo,milwaukee,4.4,0,0,0,0,1,2,0,0,0,0,2,0,1,0,1
john henson,milwaukee,17.3,2,2,0,0,1,2,0,1,1,1,0,2,1,2,5
carmelo anthony,new york,37.4,7,16,0,2,5,6,2,8,10,1,2,1,3,0,19
iman shumpert,new york,33.1,5,13,1,5,5,5,0,4,4,1,2,0,1,1,16
tyson chandler,new york,31.5,5,7,0,0,0,0,2,4,6,1,3,3,5,5,10
taymond felton,new york,34.2,7,12,0,1,4,4,1,0,1,3,2,3,3,0,18
pablo prigioni,new york,37.3,3,3,1,1,0,0,0,3,3,5,1,3,4,0,7
metta world peace,new york,17.6,2,4,0,0,0,0,0,4,4,0,0,1,1,0,4
andrea bargnani,new york,17.1,3,9,0,3,0,0,0,2,2,1,2,1,3,0,6
beno udrih,new york,10.3,1,4,0,0,0,0,0,1,1,2,2,0,2,0,2
tim hardaway,new york,15.1,2,2,1,1,0,0,0,0,0,2,2,0,0,0,5
kenyon martin,new york,4.6,1,1,0,0,1,2,1,2,3,1,0,0,0,0,3
michael kidd-gilchrist,charlotte,30.4,3,7,0,0,1,5,1,7,8,2,4,1,0,1,7
josh mcroberts,charlotte,29.5,5,9,3,4,2,2,1,3,4,3,3,1,1,1,15
al jefferson,charlotte,30.2,6,19,0,0,1,2,4,4,8,1,2,0,0,2,13
gerald henderson,charlotte,31.4,5,16,0,2,1,1,0,2,2,2,2,0,0,0,11
kemba walker,charlotte,34.4,5,10,0,1,2,2,1,1,2,5,3,4,3,0,12
cody zeller,charlotte,15.3,1,6,0,0,0,0,3,1,4,0,2,0,1,1,2
bismack biyombo,charlotte,16.4,2,4,0,0,0,0,1,4,5,0,2,0,0,0,4
jeff taylor,charlotte,27.5,1,6,0,2,3,4,0,2,2,0,0,1,0,1,5
ramon sessions,charlotte,19.2,5,11,1,1,3,4,1,1,2,1,2,1,2,0,14
jeff adrien,charlotte,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
anthony tolliver,charlotte,2.4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
chandler parsons,houston,39.3,4,11,0,3,2,4,0,5,5,3,2,1,0,1,10
dwight howard,houston,34.4,8,14,0,0,1,4,6,20,26,2,3,0,4,2,17
omer asik,houston,26.1,1,5,0,0,2,4,5,9,14,0,1,1,1,2,4
james harden,houston,36.5,7,16,1,6,6,6,1,2,3,5,1,1,5,0,21
patrick beverley,houston,10.2,2,4,1,3,0,0,1,0,1,1,0,0,2,0,5
omri casspi,houston,20.2,2,6,0,2,0,0,1,3,4,2,2,0,1,1,4
jeremy lin,houston,30.6,5,7,2,2,4,6,0,0,0,2,2,0,2,0,16
francisco garcia,houston,30,7,13,5,9,0,0,0,1,1,1,2,0,1,0,19
aaron brooks,houston,11.1,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0
corey brewer,minnesota,39.4,7,11,1,4,1,3,1,2,3,2,2,3,3,0,16
kevin love,minnesota,40.4,8,19,3,8,12,16,4,13,17,4,3,0,1,0,31
nikola pekovic,minnesota,29.4,5,11,0,0,1,1,1,6,7,0,3,0,2,0,11
kevin martin,minnesota,43.2,6,19,2,7,9,9,0,2,2,3,1,0,1,0,23
ricky rubio,minnesota,40.1,5,15,1,3,2,2,2,4,6,11,3,3,4,1,13
ronny turiaf,minnesota,15.3,1,4,0,0,1,1,1,2,3,1,3,1,0,1,3
jose barea,minnesota,20,4,9,1,2,2,2,1,1,2,4,2,0,1,0,11
alexey shved,minnesota,15.5,1,5,0,1,0,0,1,2,3,2,0,0,2,0,2
dante cunningham,minnesota,20.1,5,7,0,0,0,0,3,3,6,0,2,0,0,1,10
al-farouq aminu,new orleans,23.1,0,2,0,1,1,2,0,4,4,2,5,2,1,0,1
anthony davis,new orleans,37.4,8,20,0,0,4,4,7,5,12,0,4,1,4,3,20
jason smith,new orleans,20.3,4,6,0,0,0,0,1,1,2,1,6,0,0,1,8
eric gordon,new orleans,33.3,8,19,3,5,6,9,1,2,3,1,0,2,1,0,25
jrue holiday,new orleans,36.1,8,18,2,4,6,6,0,7,7,5,3,1,2,0,24
tyreke evans,new orleans,22.4,2,8,0,0,0,0,0,2,2,3,2,0,3,0,4
greg stiemsma,new orleans,14.6,1,2,0,0,0,0,4,1,5,0,4,1,2,1,2
anthony morrow,new orleans,14,1,3,0,1,0,0,0,1,1,0,0,0,0,0,2
brian roberts,new orleans,14.4,1,2,0,0,0,0,0,1,1,2,1,0,0,0,2
lance thomas,new orleans,7.1,0,2,0,0,0,0,1,0,1,0,1,0,1,0,0
arinze onuaku,new orleans,15.3,1,3,0,0,0,0,1,4,5,3,3,0,1,0,2
demarre carroll,atlanta,34.3,3,7,2,4,6,8,1,6,7,1,1,3,2,0,14
paul millsap,atlanta,35.5,9,15,0,2,2,4,2,3,5,3,4,1,2,1,20
al horford,atlanta,31.6,5,12,0,0,1,2,1,4,5,3,1,5,3,4,11
kyle korver,atlanta,35.4,3,9,1,4,1,1,0,5,5,3,1,2,0,0,8
jeff teague,atlanta,34.2,7,13,1,4,9,12,0,2,2,9,3,4,6,0,24
mike scott,atlanta,7.2,0,1,0,0,0,0,0,1,1,0,4,0,2,0,0
dennis schroeder,atlanta,18.3,2,5,1,2,0,0,0,4,4,5,3,0,2,0,5
elton brand,atlanta,13,4,5,0,0,0,0,0,0,0,0,0,0,0,0,8
cartier martin,atlanta,16.5,4,8,3,7,6,6,1,1,2,1,3,1,0,0,17
pero antic,atlanta,7.5,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0
shelvin mack,atlanta,4.2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2
shawn marion,dallas,30.4,6,9,0,1,0,2,0,8,8,1,2,2,2,1,12
dirk nowitzki,dallas,33,8,14,4,6,4,4,0,4,4,5,4,0,1,0,24
samuel dalembert,dallas,26.5,2,4,0,0,0,0,1,8,9,0,1,0,1,1,4
monta ellis,dallas,36.5,11,17,2,3,8,8,0,4,4,8,3,2,7,0,32
jose calderon,dallas,34.4,1,7,1,5,2,2,0,2,2,11,3,1,4,0,5
vince carter,dallas,25.2,9,16,2,5,1,2,0,4,4,2,3,1,2,0,21
dejuan blair,dallas,21.1,4,5,0,0,1,2,5,0,5,0,3,0,1,0,9
wayne ellington,dallas,13.4,2,4,1,3,1,2,1,2,3,0,1,1,0,0,6
gal mekel,dallas,8.5,0,0,0,0,2,2,0,2,2,3,1,0,2,0,2
jae crowder,dallas,9,1,1,1,1,0,0,0,1,1,1,1,0,0,0,3
tayshaun prince,memphis,19.5,4,11,1,2,0,0,0,2,2,1,1,0,0,0,9
zach randolph,memphis,25.4,1,6,0,0,0,0,2,5,7,1,1,0,1,1,2
marc gasol,memphis,34,7,15,0,0,0,0,1,8,9,2,1,1,2,0,14
tony allen,memphis,28.1,6,8,3,3,0,3,1,2,3,2,0,2,3,1,15
mike conley,memphis,27.1,7,17,0,3,0,0,0,2,2,7,5,2,3,0,14
mike miller,memphis,24.5,3,6,2,3,3,3,0,4,4,3,2,0,1,0,11
jerryd bayless,memphis,22,2,9,0,0,1,2,2,2,4,3,2,0,1,0,5
ed davis,memphis,7.5,0,2,0,0,0,0,1,2,3,0,0,0,0,0,0
quincy pondexter,memphis,21.5,4,9,2,4,3,3,2,0,2,3,0,1,1,1,13
kosta koufos,memphis,13.6,3,4,0,0,1,4,1,2,3,0,2,0,0,0,7
nick calathes,memphis,4.5,1,3,0,0,0,0,1,1,2,2,0,0,1,0,2
jon leuer,memphis,9.5,1,3,0,0,0,0,0,3,3,0,1,0,1,0,2
kawhi leonard,san antonio,30.2,5,9,2,2,2,2,1,6,7,1,2,0,4,2,14
tim duncan,san antonio,17.2,1,6,0,0,1,3,0,6,6,2,2,0,0,0,3
tiago splitter,san antonio,28.3,5,8,0,0,1,2,2,6,8,2,2,0,0,0,11
danny green,san antonio,22.4,3,7,1,3,0,0,0,1,1,1,0,0,4,2,7
tony parker,san antonio,31.2,4,14,2,3,3,4,0,1,1,9,0,1,1,0,13
manu ginobili,san antonio,24.1,6,9,0,1,0,0,0,4,4,5,2,2,1,0,12
matt bonner,san antonio,16.3,3,4,2,3,0,0,0,2,2,0,2,0,1,0,8
marco belinelli,san antonio,18.6,2,5,0,2,1,2,0,4,4,1,1,0,1,0,5
patrick mills,san antonio,16.4,4,4,3,3,1,1,1,0,1,1,0,0,0,0,12
jeff ayres,san antonio,11.2,1,1,0,0,0,0,0,2,2,2,4,0,2,1,2
boris diaw,san antonio,20.2,6,9,1,3,1,2,0,4,4,1,2,0,0,1,14
aron baynes,san antonio,1.6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
kevin durant,oklahoma city,39.1,9,24,2,8,22,24,0,6,6,1,1,3,5,0,42
serge ibaka,oklahoma city,37.3,4,15,0,0,0,0,4,6,10,0,3,1,1,2,8
kendrick perkins,oklahoma city,26.5,2,5,0,1,0,0,2,6,8,1,4,1,1,0,4
thabo sefolosha,oklahoma city,31.3,6,11,2,5,0,0,0,4,4,1,2,2,1,0,14
reggie jackson,oklahoma city,32.1,5,10,2,3,2,2,0,2,2,3,2,5,3,0,14
nick collison,oklahoma city,12.6,2,4,0,0,2,2,1,3,4,0,5,1,1,1,6
derek fisher,oklahoma city,16.5,1,3,0,1,2,2,0,3,3,2,1,1,0,0,4
jeremy lamb,oklahoma city,17.3,2,6,0,1,0,0,1,2,3,0,2,1,0,0,4
steven adams,oklahoma city,18.3,1,1,0,0,0,1,2,1,3,1,3,0,0,0,2
perry jones,oklahoma city,7.1,1,2,0,0,1,2,0,2,2,0,1,0,1,1,3
richard jefferson,utah,19.4,4,9,2,5,0,1,0,3,3,0,3,0,2,2,10
derrick favors,utah,42.5,6,11,0,0,3,7,1,8,9,5,5,1,6,2,15
enes kanter,utah,29,6,10,0,0,2,2,3,7,10,1,2,0,2,1,14
gordon hayward,utah,27.4,4,13,2,6,2,4,1,3,4,5,4,3,4,0,12
john lucas,utah,36.3,2,7,2,5,2,2,0,1,1,5,2,0,1,0,8
rudy gobert,utah,22.5,1,2,0,0,0,2,3,4,7,0,2,0,2,0,2
alec burks,utah,31.3,8,16,0,3,8,9,1,5,6,6,3,0,3,0,24
jamaal tinsley,utah,8.1,0,3,0,3,0,0,0,0,0,3,1,0,1,0,0
mike harris,utah,21.5,5,8,0,0,3,3,1,3,4,0,6,2,1,0,13
nicolas batum,utah,36.4,3,9,1,5,0,0,2,11,13,4,2,1,4,1,7
lamarcus aldridge,portland,39.3,12,22,0,0,4,5,1,3,4,2,2,0,2,0,28
robin lopez,portland,33.3,1,4,0,0,1,4,1,1,2,2,3,2,1,2,3
wesley matthews,portland,33.1,3,9,1,4,2,2,2,5,7,4,1,0,1,0,9
damian lillard,portland,42.1,10,20,6,12,6,8,2,2,4,2,2,1,0,1,32
joel freeland,portland,12.1,1,3,0,0,1,2,3,1,4,1,2,0,1,0,3
mo williams,portland,21.5,1,9,0,4,0,0,0,2,2,3,2,1,3,1,2
dorell wright,portland,12.2,0,2,0,1,3,3,0,1,1,1,0,0,1,0,3
thomas robinson,portland,8.3,2,3,0,0,0,0,0,2,2,0,0,0,0,0,4
p.j. tucker,phoenix,38.4,7,13,2,2,2,2,4,1,5,2,1,2,1,0,18
channing frye,phoenix,22.2,3,7,1,5,0,0,0,3,3,0,4,1,1,0,7
miles plumlee,phoenix,39.6,8,14,0,0,2,2,5,10,15,0,1,0,2,3,18
goran dragic,phoenix,41.1,12,21,1,4,1,1,0,6,6,9,4,1,3,0,26
eric bledsoe,phoenix,38.5,7,12,0,3,8,11,0,7,7,6,2,1,4,0,22
marcus morris,phoenix,25.4,3,9,0,4,0,0,0,7,7,1,2,3,3,1,6
gerald green,phoenix,16.6,2,3,0,1,1,2,0,1,1,0,0,0,0,0,5
alex len,phoenix,8,1,1,0,0,0,0,1,1,2,0,3,0,1,1,2
archie goodwin,phoenix,8.3,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0
anthony randolph,denver,15.1,1,2,0,1,0,0,0,2,2,0,1,0,2,1,2
j.j. hickson,denver,33,6,10,0,0,0,0,2,7,9,0,3,0,3,4,12
javale mcgee,denver,10.1,2,5,0,0,0,0,1,0,1,0,4,0,1,2,4
randy foye,denver,32.4,4,8,2,5,2,3,0,5,5,1,2,1,3,0,12
ty lawson,denver,35.5,5,15,2,4,8,8,0,5,5,8,1,2,4,0,20
timofey mozgov,denver,19.3,4,6,0,0,2,2,0,2,2,0,2,0,1,3,10
evan fournier,denver,21.1,2,8,1,3,0,0,2,3,5,2,2,0,2,0,5
kenneth faried,denver,14.6,1,4,0,1,3,4,2,3,5,0,1,0,0,0,5
andre miller,denver,21.2,6,9,0,0,0,0,0,3,3,3,0,0,1,0,12
darrell arthur,denver,18.2,3,7,0,0,0,0,1,1,2,1,4,0,1,1,6
nate robinson,denver,17.5,0,5,0,1,0,0,0,2,2,4,1,0,0,0,0
john salmons,sacramento,26.4,3,9,1,3,2,2,0,4,4,2,1,2,0,0,9
patrick patterson,sacramento,26.4,1,6,1,3,0,0,1,5,6,0,5,3,0,0,3
demarcus cousins,sacramento,39.1,13,26,0,0,4,7,5,9,14,1,4,2,4,2,30
marcus thornton,sacramento,31,1,6,0,3,2,3,0,2,2,1,3,0,0,0,4
greivis vasquez,sacramento,36.2,6,9,1,2,4,5,0,2,2,4,2,0,2,0,17
ben mclemore,sacramento,16.6,1,7,1,5,1,2,0,1,1,0,1,0,1,1,4
jason thompson,sacramento,16.3,1,5,0,0,0,0,1,2,3,0,5,0,2,2,2
isaiah thomas,sacramento,29.2,5,9,3,4,3,4,1,3,4,5,3,0,2,0,16
travis outlaw,sacramento,6.3,2,4,1,1,0,0,1,0,1,0,2,0,1,1,5
chuck hayes,sacramento,10.6,0,0,0,0,0,0,2,2,4,0,0,1,2,1,0
andre iguodala,golden state,27.5,3,7,1,3,0,0,0,4,4,4,1,2,2,1,7
david lee,golden state,26.3,8,13,0,0,8,9,3,5,8,5,3,0,4,1,24
andrew bogut,golden state,17.6,1,2,0,0,0,0,1,7,8,4,4,2,0,2,2
klay thompson,golden state,31,15,19,5,7,3,4,1,2,3,1,3,0,1,0,38
stephen curry,golden state,23.6,4,10,2,5,0,0,0,4,4,6,4,1,1,0,10
jermaine o'neal,golden state,19.5,2,5,0,0,3,4,0,1,1,1,1,1,1,2,7
draymond green,golden state,18.6,3,4,1,1,0,0,0,7,7,2,1,0,0,2,7
marreese speights,golden state,19.5,2,10,1,2,2,2,1,7,8,3,2,1,0,0,7
toney douglas,golden state,24.3,5,8,3,6,0,0,1,3,4,4,1,0,2,0,13
kent bazemore,golden state,12.1,2,5,2,2,1,2,0,1,1,4,0,1,1,0,7
