DATA SET,PLAYER FULL NAME,"OWN
TEAM","OPP
TEAM","VENUE
(R/H)",MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
Regular Season,Tony Mitchell,Det,Was,H,0.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Regular Season,Luigi Datome,Det,Was,H,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regular Season,Caron Butler,Mil,Nyk,R,33.3,5,9,2,3,2,2,1,3,4,1,4,1,7,0,14
Regular Season,Khris Middleton,Mil,Nyk,R,19.2,1,4,0,1,0,0,0,0,0,1,3,0,3,0,2
Regular Season,Larry Sanders,Mil,Nyk,R,12.2,0,3,0,0,0,0,1,3,4,0,5,0,2,1,0
Regular Season,Brandon Knight,Mil,Nyk,R,1.5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Regular Season,O.J. Mayo,Mil,Nyk,R,35.6,6,12,0,3,1,1,0,5,5,3,1,1,2,0,13
Regular Season,Nate Wolters,Mil,Nyk,R,29.4,3,12,1,4,2,2,1,0,1,4,2,1,2,1,9
Regular Season,Ersan Ilyasova,Mil,Nyk,R,19.4,5,6,0,0,0,0,0,2,2,1,1,3,2,0,10
Regular Season,Gary Neal,Mil,Nyk,R,31.5,6,16,2,5,2,2,0,2,2,5,0,0,0,0,16
Regular Season,Zaza Pachulia,Mil,Nyk,R,33.5,6,10,0,0,1,1,2,9,11,3,4,2,2,0,13
Regular Season,Giannis Antetokounmpo,Mil,Nyk,R,4.4,0,0,0,0,1,2,0,0,0,0,2,0,1,0,1
Regular Season,John Henson,Mil,Nyk,R,17.3,2,2,0,0,1,2,0,1,1,1,0,2,1,2,5
Regular Season,Carmelo Anthony,Nyk,Mil,H,37.4,7,16,0,2,5,6,2,8,10,1,2,1,3,0,19
Regular Season,Iman Shumpert,Nyk,Mil,H,33.1,5,13,1,5,5,5,0,4,4,1,2,0,1,1,16
Regular Season,Tyson Chandler,Nyk,Mil,H,31.5,5,7,0,0,0,0,2,4,6,1,3,3,5,5,10
Regular Season,Raymond Felton,Nyk,Mil,H,34.2,7,12,0,1,4,4,1,0,1,3,2,3,3,0,18
Regular Season,Pablo Prigioni,Nyk,Mil,H,37.3,3,3,1,1,0,0,0,3,3,5,1,3,4,0,7
Regular Season,Metta World Peace,Nyk,Mil,H,17.6,2,4,0,0,0,0,0,4,4,0,0,1,1,0,4
Regular Season,Andrea Bargnani,Nyk,Mil,H,17.1,3,9,0,3,0,0,0,2,2,1,2,1,3,0,6
Regular Season,Beno Udrih,Nyk,Mil,H,10.3,1,4,0,0,0,0,0,1,1,2,2,0,2,0,2
Regular Season,Tim Hardaway,Nyk,Mil,H,15.1,2,2,1,1,0,0,0,0,0,2,2,0,0,0,5
Regular Season,Kenyon Martin,Nyk,Mil,H,4.6,1,1,0,0,1,2,1,2,3,1,0,0,0,0,3
Regular Season,Michael Kidd-Gilchrist,Cha,Hou,R,30.4,3,7,0,0,1,5,1,7,8,2,4,1,0,1,7
Regular Season,Josh McRoberts,Cha,Hou,R,29.5,5,9,3,4,2,2,1,3,4,3,3,1,1,1,15
Regular Season,Al Jefferson,Cha,Hou,R,30.2,6,19,0,0,1,2,4,4,8,1,2,0,0,2,13
Regular Season,Gerald Henderson,Cha,Hou,R,31.4,5,16,0,2,1,1,0,2,2,2,2,0,0,0,11
Regular Season,Kemba Walker,Cha,Hou,R,34.4,5,10,0,1,2,2,1,1,2,5,3,4,3,0,12
Regular Season,Cody Zeller,Cha,Hou,R,15.3,1,6,0,0,0,0,3,1,4,0,2,0,1,1,2
Regular Season,Bismack Biyombo,Cha,Hou,R,16.4,2,4,0,0,0,0,1,4,5,0,2,0,0,0,4
Regular Season,Jeff Taylor,Cha,Hou,R,27.5,1,6,0,2,3,4,0,2,2,0,0,1,0,1,5
Regular Season,Ramon Sessions,Cha,Hou,R,19.2,5,11,1,1,3,4,1,1,2,1,2,1,2,0,14
Regular Season,Jeff Adrien,Cha,Hou,R,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
